node,label,sponsor,node_type,size,color,shape,sponsored,cosponsored,source
173,"Tenney, Claudia [Rep.-R-NY-24]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
174,"Thune, John [Sen.-R-SD]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
175,"Tiffany, Thomas P. [Rep.-R-WI-7]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
176,"Tillis, Thomas [Sen.-R-NC]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
177,"Tlaib, Rashida [Rep.-D-MI-12]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
178,"Tokuda, Jill N. [Rep.-D-HI-2]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
179,"Turner, Michael R. [Rep.-R-OH-10]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
180,"Van Duyne, Beth [Rep.-R-TX-24]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
181,"Van Hollen, Chris [Sen.-D-MD]",NA,cosponsor,60.0,#0047AB,o,NA,S. 393,19.0
182,"Walberg, Tim [Rep.-R-MI-5]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
183,"Warren, Elizabeth [Sen.-D-MA]",NA,cosponsor,60.0,#0047AB,o,NA,S. 393,19.0
184,"Welch, Peter [Sen.-D-VT]",NA,cosponsor,60.0,#0047AB,o,NA,S. 393,19.0
185,"Wenstrup, Brad R. [Rep.-R-OH-2]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
186,"Whitehouse, Sheldon [Sen.-D-RI]",NA,cosponsor,60.0,#0047AB,o,NA,S. 393,19.0
187,"Wicker, Roger F. [Sen.-R-MS]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
188,"Wittman, Robert J. [Rep.-R-VA-1]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
189,"Young, Todd [Sen.-R-IN]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
190,"Zinke, Ryan K. [Rep.-R-MT-1]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 19,2.0
